stock_id,公司名稱,產業類別,外國企業註冊地國,住址,營利事業統一編號,董事長,總經理,發言人,發言人職稱,代理發言人,總機電話,成立日期,上市日期,普通股每股面額,實收資本額(元),已發行普通股數或TDR原發行股數,私募普通股(股),特別股(股),編製財務報告類型,普通股盈餘分派或虧損撥補頻率,普通股年度(含第4季或後半年度)現金股息及紅利決議層級,股票過戶機構,過戶電話,過戶地址,簽證會計師事務所,簽證會計師1,簽證會計師2,英文簡稱,英文通訊地址,傳真機號碼,電子郵件信箱,公司網址,投資人關係聯絡人,投資人關係聯絡人職稱,投資人關係聯絡電話,投資人關係聯絡電子郵件,公司網站內利害關係人專區網址,市場別,上櫃日期,興櫃日期,公司簡稱
1213,大西洋飲料股份有限公司,食品工業,－,新北市三重區重陽路三段99號10樓,35012903,蘇芸樂,于忠敏,于忠敏,總經理,洪松輝,(02)2982-0061,1965-07-24,1981-04-10,新台幣 10.0000元,566226270,56622627,0,0,合併,每年,股東會,大西洋飲料股份有限公司,(02)2982-0061,新北市三重區重陽路三段99號10樓,南台聯合會計師事務所,丁澤祥,蔡玉琴,OCEANIC Bev.,10F99Sec.3Chung Yang RoadSan Chung CityTaipei HsienTaiwanR.O.C.,(02)2984-1154,c5012903@ms23.hinet.net,http://applesidra.com.tw,陳恩幼,襄理,02-29820061#234,c5012903@ms23.hinet.net,http://applesidra.com.tw,sii,nan,nan,大飲
1215,台灣卜蜂企業股份有限公司,食品工業,－,台北市松江路八十七號十七樓,36514783,鄭武樾,許瑞通,劉明哲,特別助理,謝筱芬,02-25077071,1977-08-22,1987-07-27,新台幣 10.0000元,2947900980,294790098,0,0,合併,每年,董事會,中國信託商業銀行代理部,02-66365566,台北市重慶南路一段八十三號五樓,資誠聯合會計師事務所,林一帆,廖福銘,CPE,17F. No. 87 Songjiang Rd.Taipei City Taiwan 104,02-25064137,service@cptwn.com.tw,http://www.cptwn.com.tw,劉明哲,特別助理,02-25077071,service@cptwn.com.tw,http://www.cptwn.com.tw/ec99/rwd1453/category.asp?category_id=12,sii,nan,nan,卜蜂
1216,統一企業股份有限公司,食品工業,－,71001台南市永康區中正路301號,73251209,羅智先,黃釗凱、李清田,陳國煇,財務長,涂忠正,(06)253-2121,1967-08-25,1987-12-28,新台幣 10.0000元,56820154210,5682015421,0,0,合併,每年,股東會,統一綜合證券(股)公司股務代理部,(02)2746-3797,10570台北市松山區東興路8號統一大樓地下室一樓,資誠聯合會計師事務所,田中玉,吳建志,UNI-PRESIDENT,No.301 Zhongzheng Rd. Yongkang Dist.Tainan City 71001 Taiwan (R.O.C.),(06)253-2661,jlian@mail.pec.com.tw,https://www.uni-president.com.tw,吳婉瑜,課長,(02)8786-6888-2536,public@mail.pec.com.tw,https://www.uni-president.com.tw/,sii,nan,nan,統一
1217,愛之味股份有限公司,食品工業,－,嘉義縣民雄鄉工業二路11號,65534366,陳冠翰,陳志展,陳冠翰,董事長,陳志展 陳建華 蕭宏基,05-2211521-4,1971-06-26,1989-10-28,新台幣 10.0000元,4945133360,494513336,0,0,合併,每年,董事會,群益金鼎證券股份有限公司,02-27023999,台北市大安區敦化南路二段97號地下二樓,國富浩華聯合會計師事務所,蔡淑滿,黃鈴雯,AGV,NO.11Kung Yeh Second Rd.Min Hsiong Industrial ZoneChiayi HsienTaiwan,05-2216287,YUEHCHU@mail.agv.com.tw,www.agv.com.tw,蔡月足,總監,05-2211521,YUEHCHU@mail.agv.com.tw,www.agv.com.tw,sii,nan,nan,愛之味
1218,泰山企業股份有限公司,食品工業,－,彰化縣田中鎮興工路6號,59661701,劉偉龍,蔡政達,李淑惠,副總經理,彭碧珍,04-8742211,1950-10-26,1989-11-11,新台幣 10.0000元,4999990380,499999038,0,0,合併,每季,董事會,元大證券股份有限公司,02-25865859,台北市承德路三段210號B1,安永聯合會計師事務所,林素雯,楊智惠,TAISUN,No.6 Xinggong Rd. Tianzhong Township.Changhua County 520 Taiwan (R.O.C.),04-8758989,taisunir@taisun.com.tw,www.taisun.com.tw,李淑惠,副總經理,02-2506-4152#9307,taisunir@taisun.com.tw,http://www.taisun.com.tw/corporate/stakeholder/,sii,nan,nan,泰山
1219,福壽實業股份有限公司,食品工業,－,台中市沙鹿區沙田路45號,56192402,洪堯昆,趙文強,王四全,特助,陳祺炆,04-26362111,1955-02-07,1990-12-01,新台幣 10.0000元,3316633830,331663383,0,0,合併,每半會計年度,董事會,凱基證券股份有限公司,02-23892999,100502台北市重慶南路一段2號5樓,群智聯合會計師事務所,呂松裕,陳芓伃,FWUSOW,45Sha-TyanSha-LuTaichung Taiwan R.O.C,04-26358452,fwusow@fwusow.com.tw,www.fwusow.com.tw,王四全,特助,04-26362111#210,scwang@fwusow.com.tw,http://www.fwusow.com.tw/information/itemlist/category/52.html,sii,nan,nan,福壽
1220,台榮產業股份有限公司,食品工業,－,台北市中山區南京東路二段206號6樓,03543210,陳英凱,陳英凱,陳玉能,副總經理,黃棣楨,(02)2506-9521,1969-03-13,1991-11-20,新台幣 10.0000元,1770779440,177077944,0,0,合併,每年,股東會,中國信託商業銀行代理部,(02)66365566,台北市重慶南路一段83號5樓,立本台灣聯合會計師事務所,柯俊輝,陳怡琳,TAIROUN,6TH FL. NO. 206. NANKING E. RD. SEC. 2TaipeiTaiwanROC,(02)2507-7020,jushan@tairoun.com.tw,http://www.tairoun.com.tw/,陳玉能,副總經理,(02)2506-9521,otto@tairoun.com.tw,http://www.tairoun.com.tw/relationship.html,sii,nan,nan,台榮
1225,福懋油脂股份有限公司,食品工業,－,台中市大肚區沙田路一段453號,22102298,晉昇投資有限公司,許逸群,郭中儀,協理,李建儀,25073121,1986-04-18,1993-09-27,新台幣 10.0000元,2187030510,218703051,0,0,合併,每年,董事會,群益金鼎證券股份有限公司,02-27023999,台北市敦化南路二段97號地下二樓,勤業眾信聯合會計師事務所,謝建新,張耿禧,FOPCO,3RD FL150 NANKING EAST RD SEC.2 TAIPEI TAIWAN R.O.CTAIPEI TAIWAN R.O.C.,(02)25071312,cherry.lin@fopco.com.tw,WWW.FOPCO.COM.TW,郭中儀,協理,02-25073121#122,matt.kuo@fopco.com.tw,WWW.FOPCO.COM.TW,sii,nan,nan,福懋油
1227,佳格食品股份有限公司,食品工業,－,台北市內湖區瑞光路610號10樓,22102473,曹德風,曹博睿,曹德風,董事長,陳俊明,2709-2323,1986-06-06,1994-04-09,新台幣 10.0000元,9150895910,915089591,0,0,合併,每年,股東會,中國信託商業銀行代理部,(02)6636-5566,台北市重慶南路一段83號5樓,勤業眾信聯合會計師事務所,方涵妮,陳昭宇,S.F.C,10F. No. 610 Ruiguang Rd. Neihu Dist.TaipeiTaiwanR.O.C.,2706-7955,spokesperson1@sfworldwide.com,https://www.sfworldwide.com/tw.html,曾玉如,副理,2709-2323 分機10860,anita@sfworldwide.com,https://www.sfworldwide.com/sustainability-stakeholders.html,sii,nan,nan,佳格
1229,聯華實業投資控股股份有限公司,食品工業,－,臺北市大同區承德路一段44號6樓,11996904,苗豐強,林信宏,林信宏,總經理,嚴文卿,(02)2786-1188,1955-07-20,1976-07-19,新台幣 10.0000元,15837395670,1583739567,0,0,合併,每季,董事會,中國信託商業銀行代理部,(02)6636-5566,台北市重慶南路一段83號5樓,安侯建業聯合會計師事務所,許淑敏,江曉苓,LHIHC,6F. No.44 Sec. 1 Chengde Rd. Datong DistrictTaipei Taiwan R.O.C.,(02)2786-3232,info@lhic.com.tw,https://www.lhicholdings.com/,張玉虎,財會中心經理,02-27861188 # 1622,ir@lhic.com.tw,https://www.lhicholdings.com/csr/index/crs-stakeholder/,sii,nan,nan,聯華
1231,聯華食品工業股份有限公司,食品工業,－,台北市迪化街一段148號,07569627,李開源,林家齊,林志遠,財務處協理,陳姵岑,(02)25534546,1970-07-07,1995-11-02,新台幣 10.0000元,2466565910,246656591,0,0,合併,每年,股東會,永豐金證券股份有限公司,(02)23816288,台北市博愛路17號3樓,勤業眾信聯合會計師事務所,趙永祥,劉明賢,Lian Hwa Foods,148 TI HWA STREET SEC.1TaipeiTaiwanR.O.C,(02)25533479,tomlin@lianhwa.com.tw,www.lianhwa.com.tw,林志遠,財務處協理,(02)25521666-1580,tomlin@lianhwa.com.tw,http://lianhwa.varynice.com/column_list.php?content_category_sn=425,sii,nan,nan,聯華食
1232,大統益股份有限公司,食品工業,－,台南市官田區二鎮里工業西路32號,20927014,羅智先,陳昭良,陳昭良,總經理,陳冠州,06-698-4500,1982-05-24,1996-02-09,新台幣 10.0000元,1599749150,159974915,0,0,合併,每年,股東會,統一綜合證券股份有限公司,02-2746-3797,台北市東興路8號地下一樓,資誠聯合會計師事務所,葉芳婷,林姿妤,TTET,32 Gongye West Road Erzhen Village Guantian District Tainan City TaiwanTAINAN CITY TAIWAN,06-698-5530,finance@mail.ttet.com.tw,https://www.ttet.com.tw,陳冠州,經理,06-6984500#800,sam@mail.ttet.com.tw,https://www.ttet.com.tw/bg/Stakeholder/index5.php,sii,nan,nan,大統益
1233,天仁茶業股份有限公司,食品工業,－,台北市忠孝東路4段107號6樓,18559415,李國麟,林仁宗,陳中智,財務暨行政副總經理,謝艾芸,02-27765580,1975-12-11,1999-01-20,新台幣 10.0000元,905919480,90591948,0,0,合併,每年,董事會,元大證券股份有限公司,02-25865859,台北市承德路3段210號地下一樓,安永聯合會計師事務所,呂倩雯,劉慧媛,Ten Ren,6F. NO.107SEC 4 Chung Hsiao East RoadTaipei Taiwan ROC,02-27403035,chafortea@tenren.com.tw,http://www.tenren.com.tw/,謝艾芸,公司治理室主任,02-27765580,irene@tenren.com.tw,http://www.tenren.com.tw/Content/IRContactUS/Contact.aspx?SiteID=10&MmmID=654044433016605753,sii,nan,nan,天仁
1234,黑松股份有限公司,食品工業,－,台北市信義路四段296號3樓,20651901,張斌堂,張斌堂,杜居燦,財務處處長,蔡曜光,(02)2706-2191,1969-12-13,1999-03-12,新台幣 10.0000元,4018710940,401871094,0,0,合併,每年,董事會,宏遠證券股份有限公司股務代理部,(02)7719-8899,台北市大安區信義路四段236號3樓,勤業眾信聯合會計師事務所,郭乃華,池瑞全,HEY SONG,3RD FL. NO. 296 SEC. 4 HSIN YI RD.TAIPEI TAIWAN R.O.C.,(02)2755-2119,heysong@heysong.com.tw,www.heysong.com.tw,杜居燦,財務處處長,27062191#403,16222@heysong.com.tw,http://www.heysong.com.tw/Stakeholder/Stakeholder,sii,nan,nan,黑松
1235,興泰實業股份有限公司,食品工業,－,高雄市仁武區高楠公路10號,85617982,吳金泉,葉文籐,葉文隆,法務處經理,蘇玲慧,07-3425301-5,1972-11-15,2000-09-11,新台幣 10.0000元,1336294200,133629420,0,0,合併,每年,股東會,國票綜合證券股份有限公司,02-25288988,105411台北市松山區南京東路五段188號15樓,群智聯合會計師事務所,呂松裕會計師,陳芓(人予)會計師,ST,10 KAO-NANG HIGHWAYJEN-WUH KAOHSIUNG TAIWAN R.O.C.,07-3425694,shintai1235@seed.net.tw,www.shintai-feed.com.tw,葉文隆,法務處經理,07-3425301,shintai1235@seed.net.tw,http://www.goldenbrand.com.tw/stakeholder.php,sii,nan,nan,興泰
1236,宏亞食品股份有限公司,食品工業,－,新北市新店區北新路一段86號20樓之6,34106066,張云綺,張云綺,余彩雲,財務經理,許士彬,(02)29180786,1976-06-14,2001-09-17,新台幣 10.0000元,866740080,86674008,0,0,合併,每年,董事會,福邦證券股份有限公司,(02)2383-6888,台北市中正區忠孝西路一段6號6樓,安永聯合會計師事務所,徐榮煌,黃建澤,Hunya,20F.-6 No.86 Sec. 1 Beixin Rd.Xindian Dist. New Taipei City 23147,(02)29180706,hunya.com.tw,www.hunya.com.tw,余彩雲,財務經理,(02)29180786,christineyu@hunya.com.tw,https://csr.hunya.com.tw/,sii,nan,nan,宏亞
1240,茂生農經股份有限公司,農業科技,－,台北市和平西路一段三十號二樓,18795706,吳清德,吳清德,林信鴻,管理部,邱紹齊,02-23671162,1967-02-18,nan,新台幣 10.0000元,385981940,38598194,0,0,合併,每年,股東會,元大證券股份有限公司股務代理部,02-2586-5859,103432台北市大同區承德路三段210號地下一樓,勤業眾信聯合會計師事務所,陳招美,虞成全,MORNSUN,2F.No.30Sec. 1Heping W.Rd.Zhongzheng Dist.Taipei City 100TAIPEITAIWAN(R.O.C),02-23640694,bedford@morn-sun.com.tw,https://www.morn-sun.com.tw/,林信鴻,管理部,02-23671162#106,bedford@morn-sun.com.tw,https://www.morn-sun.com.tw/,otc,2018-08-08,nan,茂生農經
1256,鮮活控股股份有限公司,食品工業,KY 開曼群島,Suite 102 Cannon Place P.O.Box 712North Sound Rd; Grand,37759808,黃國晃,吳明憲,吳明憲,董事,陳怡如,512-57515501,2010-01-12,2016-03-17,新台幣 10.0000元,338421600,33842160,0,0,合併,每年,股東會,兆豐證券股份有限公司股務代理部,02-3393-0898,台北市忠孝東路二段95號1樓,勤業眾信聯合會計師事務所,謝明忠,黃毅民,Sunjuice,Suite 102 Cannon Place P.O.Box 712North Sound Rd; Grand CaymanKY1-9006Suite 102 Cannon Place P.O.Box 712,512-57515503,ky@myfreshjuice.com,http://www.myfreshjuice.com,吳明憲,董事／發言人,0972522666,sam.wu@myfreshjuice.com,http://www.myfreshjuice.com,sii,nan,nan,鮮活果汁-KY
1258,其祥生物科技控股有限公司,食品工業,KY 開曼群島,台北市中山區松江路51號8樓,53028230,王建山,陳偉業,王建山,董事長,游志宗,(02)2518-4933,2010-05-11,nan,新台幣 10.0000元,368197910,36819791,0,0,合併,每年,股東會,中國信託商業銀行代理部,(02)6636-5566,台北市重慶南路1段83號3樓,安永聯合會計師事務所,林素雯,劉榮進,Kee Song,8F. No.51 Songjiang Rd. Zhongshan Dist.Taipei City 104 Taiwan (R.O.C.),(02)2503-4933,investor@keesong.com,http://keesongbiotech.com/,陳英傑,財務經理,(02)2518-4933,investor@keesong.com,http://keesongbiotech.com/intstakeholders/,otc,2011-12-12,nan,其祥-KY
1259,安心食品服務股份有限公司,觀光餐旅,－,台北市大安區仁愛路3段136號2樓201室,23928945,黃茂雄,高順興,施啟寅,協理,何頎胤,(02)2567-5001,1990-11-23,nan,新台幣 10.0000元,323895000,32389500,0,0,合併,每年,董事會,群益金鼎證券(股)公司股務代理部,(02)27023999,(106)台北市大安區敦化南路二段97號B2,資誠聯合會計師事務所,徐明釧,邱昭賢,AN-SHIN,Room201 2F. No. 136Sec. 3 Ren'ai Rd.Da’an Dist. Taipei CityTaipei 106465 R.O.C.,(02)2567-1692,ir@mos.com.tw,http://www.mos.com.tw,張貴梅,副理,(02)2567-5001,ir@mos.com.tw,http://www.mos.com.tw/investWindow.php,otc,2011-12-15,nan,安心
1260,富味鄉食品股份有限公司,食品工業,－,台北市大安區市民大道四段102號11樓,12467902,陳昶宏,劉兆華,陳淑紋,副總經理,謝宗穎,(02)2750-5667,1983-11-08,nan,新台幣 10.0000元,1020981820,102098182,0,0,合併,每年,董事會,福邦證券股份有限公司,(02)2371-1658,台北市中正區忠孝西路一段６號６樓,資誠聯合會計師事務所,黃金連,賴宗羲,FLAVOR,11F. No. 102 Sec. 4 Civic Blvd. Da'an Dist.Taipei City 106 Taiwan,(02)2750-6777,flavor@flavor.com.tw,www.flavor.com.tw,－,－,－,－,www.flavor.com.tw,rotc,nan,2012-11-26,富味鄉
1264,德麥食品股份有限公司,食品工業,－,新北市五股區五權五路31號,23420497,林雪嬌,吳文欽,邱俊榮,財務經理,賴素瑛,(02)2298-1347,1989-06-29,nan,新台幣 10.0000元,370643670,37064367,0,0,合併,每年,股東會,富邦綜合證券(股)公司股務代理部,(02)2361-1300,台北市中正區許昌街17號2樓,勤業眾信聯合會計師事務所,張耿禧,陳招美,TEHMAG,No.31Wuquan 5th Rd.Wugu Dist.New Taipei CityTaiwanR.O.C.,(02)2298-2263,ir@tehmag.com.tw,http://www.tehmag.com.tw,邱俊榮,財務經理,(02)2298-1347,willychiou@tehmag.com.tw,http://www.tehmag.com.tw/webnews/view.php?sn=3548,otc,2015-04-09,nan,德麥
1268,漢來美食股份有限公司,觀光餐旅,－,高雄市前金區成功一路266號21樓之1,80352343,賴宗成,林淑婷,林淑婷,總經理,柯柏良,(07)213-5788,2003-01-09,nan,新台幣 10.0000元,422237300,42223730,0,0,合併,每年,董事會,福邦證券股份有限公司,(02)2371-1658,台北市中正區忠孝西路一段6號6樓,勤業眾信聯合會計師事務所,陳珍麗,江佳玲,Hi-Lai Foods,21F-1 No.266 Cheng-Kung 1st Road80146 Kaohsiung CityTaiwan R.O.C.,(07)215-5956,stock@hilai-foods.com,www.hilai-foods.com,柯柏良,財務長,(07)213-5788,stock@hilai-foods.com,www.hilai-foods.com,otc,2017-09-27,nan,漢來美食
1269,乾杯股份有限公司,觀光餐旅,－,台北市中正區忠孝東路二段88號11樓,70443909,平出莊司,平出莊司,廖佳怡,董事長室經理,董浩成,(02)3322-2627,1999-10-13,nan,新台幣 10.0000元,193234830,19323483,0,0,合併,每年,股東會,凱基證券股份有限公司,02-2389-2999,台北市中正區重慶南路1段2號5樓,勤業眾信聯合會計師事務所,姚勝雄,陳昭伶,KANPAI,11F. No.88 Sec. 2 Zhongxiao E. Rd. Zhongzheng Dist.Taipei City 100 Taiwan (R.O.C.),(02)3322-2696,kanpai_otc@kanpai.com.tw,www.kanpai.com.tw,－,－,－,－,www.kanpai.com.tw,rotc,nan,2016-08-29,乾杯
1271,晨暉生物科技股份有限公司,生技醫療業,－,台北市內湖區行愛路139號,28708250,李家榮,潘佳岳,曾騰賢,副總經理,鄭元菖,(02)2792-9568,2007-09-10,nan,新台幣 10.0000元,339595940,33959594,0,0,合併,每年,董事會,富邦綜合證券(股)公司股務代理部,(02)2361-1300,台北市中正區許昌街17號2樓,資誠聯合會計師事務所,吳仁杰,林雅慧,SunWay,No.139 Xing'ai Rd. Neihu DistrictTaipei City Taiwan (R.O.C.),(02)2792-9566,ir@sunway.cc,www.sunway.cc,－,－,－,－,www.sunway.cc,rotc,nan,2021-01-18,晨暉生技
1293,利統股份有限公司,食品工業,－,新北市汐止區康寧街169巷31-1號13樓之1,89955491,張天鴻,張天鴻,蔡沛協,財務長,林燕,(02)2694-0885,1994-12-28,nan,新台幣 10.0000元,170941120,17094112,0,0,合併,每年,董事會,福邦證券股份有限公司,(02)2371-1658,台北市中正區忠孝西路一段6號6樓,安侯建業聯合會計師事務所,吳趙仁,郭柔蘭,Lytone,13F-1 No. 31-1 Ln. 169 Kangning St. Xizhi Dist.New Taipei City Taiwan R.O.C.,(02)2694-0121,ir@lytone.com,http://www.lytone.com,－,－,－,－,http://www.lytone.com,rotc,nan,2021-10-29,利統
1294,漢田生技股份有限公司,食品工業,－,彰化縣員林市中央里中山路一段60號,28814153,李雨霖,李雨霖,劉騏豪,財務長,楊碧珍,04-8383151,2007-10-22,nan,新台幣 10.0000元,193669330,19366933,0,0,合併,每年,董事會,中國信託商業銀行代理部,02-6636-5566,100台北市中正區重慶南路一段83號5樓,勤業眾信聯合會計師事務所,陳明煇會計師,黃裕峰會計師,HTB,No.60 Sec. 1 Zhongshan Rd. Yuanlin CityChanghua County Taiwan (R.O.C),04-8366214,IR@htbios.com,https://www.htbios.com/,－,－,－,－,無,rotc,nan,2022-09-30,漢田生技
1301,台灣塑膠工業股份有限公司,塑膠工業,－,高雄市仁武區水管路100號,75708007,林健男,郭文筆,林勝冠,資深副總經理,簡嘉宏,(02)2712-2211,1954-11-05,1964-07-27,新台幣 10.0000元,63657407810,6365740781,0,0,合併,每年,董事會,本公司股務組,(02)2718-9898,台北市敦化北路201號後棟1樓,安侯建業聯合會計師事務所,郭欣頤,寇惠植,FPC,4F 201 Tung Hwa North RoadTaipei Taiwan R.O.C.,(02)2717-8108,formosa@fpc.com.tw,http://www.fpc.com.tw,劉祈廷,代理協理,(02)2712-2211,formosa@fpc.com.tw,http://www.fpc.com.tw/fpcw/index.php?op=res&id=18,sii,nan,nan,台塑
